"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TRK","Speedway Motorsports, Inc.","18.33","$752.71M","1995","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/trk",
"SR","Spire Inc.","69.9","$3.37B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/sr",
"SPR","Spirit Aerosystems Holdings, Inc.","56.71","$6.84B","2006","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/spr",
"SRC","Spirit Realty Capital, Inc.","7.61","$3.68B","2013","Consumer Services","Building operators","http://www.nasdaq.com/symbol/src",
"SRLP","Sprague Resources LP","27.8","$626.71M","2013","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/srlp",
"S","Sprint Corporation","8.18","$32.67B","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/s",
"SPXC","SPX Corporation","25.06","$1.06B","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/spxc",
"FLOW","SPX FLOW, Inc.","35.89","$1.52B","2015","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flow",
"SQ","Square, Inc.","23.32","$8.72B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sq",
"JOE","St. Joe Company (The)","18.6","$1.34B","n/a","Consumer Services","Homebuilding","http://www.nasdaq.com/symbol/joe",
"STAG","Stag Industrial, Inc.","27.04","$2.4B","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/stag",
"STAG^B","Stag Industrial, Inc.","25.5385","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/stag^b",
"STAG^C","Stag Industrial, Inc.","26.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/stag^c",
"SSI","Stage Stores, Inc.","2.18","$59.82M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/ssi",
